City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Kahului,US,20.8947,-156.47,78.96,84,38,8.01,scattered clouds
175,Ziyang,CN,29.2497,117.8547,78.24,83,98,3.62,overcast clouds
176,Tutoia,BR,-2.7619,-42.2744,76.95,85,100,6.91,overcast clouds
177,Butaritari,KI,3.0707,172.7902,81.36,77,49,10.96,scattered clouds
178,Aklavik,CA,68.2191,-135.0107,33.03,91,100,5.75,overcast clouds
179,Gigmoto,PH,13.7796,124.39,83.3,81,100,9.91,overcast clouds
180,Ceres,US,37.5949,-120.9577,80.92,29,0,8.86,clear sky
181,Dikson,RU,73.5069,80.5464,8.78,93,100,16.6,overcast clouds
182,Bredasdorp,ZA,-34.5322,20.0403,56.21,75,75,4.94,broken clouds
183,Tallahassee,US,30.4383,-84.2807,73.99,66,64,3.13,broken clouds
184,Balozi,LV,56.8761,24.1186,45.73,100,100,3.44,overcast clouds
185,Ponta Do Sol,PT,32.6667,-17.1,65.01,86,100,10.96,light rain
186,Lindi,TZ,-10.0,39.7167,73.42,98,100,3.6,light rain
187,Iwanai,JP,42.9744,140.5089,58.64,39,54,4.74,broken clouds
188,Santa Rosa,PH,14.3122,121.1114,84.11,75,89,11.03,overcast clouds
189,Dunhua,CN,43.3725,128.2425,64.29,32,2,6.87,clear sky
190,Elk City,US,35.412,-99.4043,68.22,24,0,11.5,clear sky
191,Hornostayivka,UA,47.0078,33.729,51.82,83,100,5.48,overcast clouds
192,Xining,CN,36.6167,101.7667,53.28,49,19,2.98,few clouds
193,Monrovia,LR,6.3005,-10.7969,76.51,89,100,6.46,overcast clouds
194,Sept-Iles,CA,50.2001,-66.3821,38.05,69,20,6.91,few clouds
195,Fairbanks,US,64.8378,-147.7164,41.79,89,100,1.14,overcast clouds
196,Boca Do Acre,BR,-8.7522,-67.3978,74.97,95,100,3.11,overcast clouds
197,Aquiraz,BR,-3.9014,-38.3911,78.19,88,100,10.56,light rain
198,Fortuna,US,40.5982,-124.1573,59.94,72,0,12.66,clear sky
199,Amapa,BR,1.0,-52.0,72.81,98,25,2.06,scattered clouds
200,Pailon,BO,-17.65,-62.75,79.16,72,100,10.07,overcast clouds
201,Fort Smith,US,35.3859,-94.3986,66.25,93,100,16.11,heavy intensity rain
202,San Luis,AR,-33.295,-66.3356,67.68,47,0,12.01,clear sky
203,Aberdeen,GB,57.1437,-2.0981,44.49,95,100,2.3,overcast clouds
204,Whitianga,NZ,-36.8333,175.7,66.29,56,76,5.61,moderate rain
205,Sao Filipe,CV,14.8961,-24.4956,74.1,75,6,3.53,clear sky
206,Tamandare,BR,-8.7597,-35.1047,78.17,84,88,8.08,overcast clouds
207,Alexander City,US,32.944,-85.9539,73.49,73,0,0.0,clear sky
208,Duluth,US,46.7833,-92.1066,44.28,83,100,17.27,overcast clouds
209,Rolla,US,37.9514,-91.7713,57.51,91,100,6.91,moderate rain
210,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,53,75,20.13,broken clouds
211,Metro,ID,-5.1131,105.3067,80.33,81,95,5.53,overcast clouds
212,Bengkulu,ID,-3.8004,102.2655,77.59,87,89,3.87,overcast clouds
213,Petatlan,MX,17.5167,-101.2667,78.26,70,0,4.85,clear sky
214,Manokwari,ID,-0.8667,134.0833,81.79,78,11,3.6,few clouds
215,Shwebo,MM,22.5667,95.7,91.13,32,1,7.76,clear sky
216,Torbay,CA,47.6666,-52.7314,37.76,96,100,16.11,mist
217,Buala,SB,-8.145,159.5921,85.68,69,86,6.78,overcast clouds
218,Vicuna,CL,-30.0319,-70.7081,62.76,60,0,1.03,clear sky
219,Nador,MA,35.174,-2.9287,57.45,82,0,2.3,clear sky
220,Vikhorevka,RU,56.1201,101.1636,24.39,78,95,7.58,overcast clouds
221,Joshimath,IN,30.5667,79.5667,57.15,35,24,7.72,few clouds
222,Omboue,GA,-1.5746,9.2618,77.92,89,100,1.57,overcast clouds
223,Ribeira Grande,PT,38.5167,-28.7,58.89,75,16,14.09,light rain
224,Valparaiso,CL,-33.0393,-71.6273,59.47,86,100,7.2,overcast clouds
225,Vostok,RU,46.4856,135.8833,45.91,31,100,5.95,overcast clouds
226,Tselina,RU,46.5338,41.0328,44.24,77,1,5.19,clear sky
227,Great Yarmouth,GB,52.6083,1.7305,44.94,87,7,15.5,clear sky
228,Kisangani,CD,0.5167,25.2,69.89,98,100,2.06,overcast clouds
229,Honiara,SB,-9.4333,159.95,87.53,63,29,5.39,scattered clouds
230,Barcelos,PT,41.5388,-8.6151,53.92,92,100,3.56,overcast clouds
231,Cayenne,GF,4.9333,-52.3333,81.09,1,40,3.44,scattered clouds
232,Magadan,RU,59.5667,150.8,31.84,67,31,5.57,scattered clouds
233,Chapais,CA,49.7834,-74.8492,36.84,84,100,12.88,overcast clouds
234,Nieves,PH,15.3274,120.9485,91.29,47,28,7.4,scattered clouds
235,Abha,SA,18.2164,42.5053,59.25,67,0,0.0,clear sky
236,Yerbogachen,RU,61.2767,108.0108,29.48,74,100,7.85,overcast clouds
237,Muswellbrook,AU,-32.2667,150.9,66.72,60,100,6.11,overcast clouds
238,Sistranda,NO,63.7256,8.834,42.76,79,100,6.58,overcast clouds
239,Geraldton,AU,-28.7667,114.6,72.01,37,100,17.27,overcast clouds
240,Hofn,IS,64.2539,-15.2082,40.91,90,99,4.81,overcast clouds
241,Sopot,PL,54.4418,18.56,44.89,87,100,9.22,overcast clouds
242,Halifax,CA,44.6453,-63.5724,38.68,80,99,14.97,overcast clouds
243,Bhatgaon,IN,21.15,81.7,80.78,61,20,4.61,haze
244,Bethel,US,41.3712,-73.414,50.09,61,0,4.61,clear sky
245,Jamame,SO,0.0722,42.7506,80.67,79,90,7.54,overcast clouds
246,Matara,LK,5.9485,80.5353,78.67,86,100,1.61,heavy intensity rain
247,Shubarshi,KZ,48.5872,57.1869,40.23,49,12,7.14,few clouds
248,Belmonte,BR,-15.8631,-38.8828,78.03,85,53,8.14,broken clouds
249,Benguela,AO,-12.5763,13.4055,74.12,89,80,3.18,broken clouds
250,Leningradskiy,RU,69.3833,178.4167,22.69,86,93,3.02,overcast clouds
251,Muros,ES,42.7762,-9.0603,50.85,93,98,6.55,overcast clouds
252,Beringovskiy,RU,63.05,179.3167,29.05,77,100,9.33,overcast clouds
253,Wattegama,LK,6.7989,81.4808,76.03,93,46,2.1,scattered clouds
254,Hobyo,SO,5.3505,48.5268,82.78,72,4,11.07,clear sky
255,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.6,59,31,8.86,scattered clouds
256,Mascote,BR,-15.5631,-39.3025,71.92,97,28,0.65,scattered clouds
257,Ende,ID,-8.8432,121.6623,84.4,62,100,2.73,overcast clouds
258,Nikolskoye,RU,59.7035,30.7861,44.49,97,100,6.17,light rain
259,Dunedin,NZ,-45.8742,170.5036,63.81,53,8,15.01,clear sky
260,Zhicheng,CN,30.2956,111.5047,70.57,84,100,4.27,overcast clouds
261,Esna,EG,25.2934,32.554,75.78,19,0,8.75,clear sky
262,Namwala,ZM,-15.7504,26.4384,61.09,89,0,2.44,clear sky
263,Lazaro Cardenas,MX,17.9583,-102.2,78.28,66,9,8.08,clear sky
264,Coffs Harbour,AU,-30.3,153.1333,70.12,68,40,10.36,scattered clouds
265,Tadine,NC,-21.55,167.8833,76.28,67,100,19.82,overcast clouds
266,Loukhi,RU,66.0764,33.0381,31.6,94,100,5.1,overcast clouds
267,La Grange Park,US,41.8348,-87.8617,66.25,65,75,11.5,broken clouds
268,Severo-Kurilsk,RU,50.6789,156.125,34.0,90,88,1.81,overcast clouds
269,Ipameri,BR,-17.7219,-48.1597,69.19,62,0,4.23,clear sky
270,Ixtapa,MX,20.7,-105.2,76.23,73,0,8.05,clear sky
271,Selianitika,GR,38.2833,22.0333,60.01,79,99,1.99,overcast clouds
272,Roald,NO,62.5833,6.1333,46.76,81,100,12.66,overcast clouds
273,Jinja,UG,0.439,33.2032,66.07,90,100,1.66,light rain
274,Labuhan,ID,-6.8844,112.2051,81.36,81,41,6.64,scattered clouds
275,Kimbe,PG,-5.5502,150.1429,87.19,65,83,3.69,broken clouds
276,Gushikawa,JP,26.3544,127.8686,80.6,83,75,8.05,broken clouds
277,Bowen,AU,-20.0167,148.2333,77.36,84,100,22.84,overcast clouds
278,Spokane,US,47.6166,-117.3677,64.4,30,100,3.0,overcast clouds
279,Panguna,PG,-6.3164,155.4848,81.37,63,54,2.82,light rain
280,Celestun,MX,20.8667,-90.4,81.91,70,22,15.64,few clouds
281,Chifeng,CN,42.2683,118.9636,68.94,25,0,7.74,clear sky
282,Emba,KZ,48.8264,58.1442,38.14,51,2,6.89,clear sky
283,Provideniya,RU,64.3833,-173.3,35.71,64,0,4.47,clear sky
284,Cangzhou,CN,38.3167,116.8667,71.08,61,100,5.41,overcast clouds
285,Barabinsk,RU,55.3571,78.357,34.41,61,58,6.91,broken clouds
286,Cidreira,BR,-30.1811,-50.2056,68.68,87,0,20.42,clear sky
