City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
302,Songjianghe,CN,65.26,clear sky,42.1859,127.479,Sijisheng Fashion Guest House
306,Padampur,IN,80.82,broken clouds,29.6833,73.6167,Sidhu wali dhani
309,Vaitape,PF,81.45,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
310,Silifke,TR,69.44,clear sky,36.3778,33.9344,Ayatekla Hotel
311,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
317,El Paujil,CO,71.71,moderate rain,1.5701,-75.3286,Hostal La Reina
318,Conceicao Do Araguaia,BR,73.72,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
320,Sao Geraldo Do Araguaia,BR,74.32,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
321,Edea,CM,73.02,light rain,3.8,10.1333,Micotel Hotel
322,Pisco,PE,69.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
324,Tianpeng,CN,69.98,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
328,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
330,Elizabeth City,US,75.99,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
331,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
339,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
342,Yenagoa,NG,74.17,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
343,Carutapera,BR,75.15,clear sky,-1.195,-46.02,Lidera
350,Uvira,CD,72.91,light rain,-3.4067,29.1458,Hotel Suzana
354,Puerto Cabezas,NI,77.07,few clouds,14.0351,-83.3888,Cabaña Caribe
359,Muisne,EC,77.72,overcast clouds,0.6,-80.0333,Quinta Samay
362,Dondo,MZ,70.29,few clouds,-19.6094,34.7431,Arco Iris
365,Isangel,VU,79.45,overcast clouds,-19.55,169.2667,Tanna Lodge
373,Gambela,ET,72.81,light rain,8.25,34.5833,Solomon Debebe Hotel
374,Marsabit,KE,68.32,light rain,2.3284,37.9899,Chicho Hotel
376,Nampa,US,65.71,clear sky,43.5407,-116.5635,Nampa Downtown
379,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
383,Reconquista,AR,75.11,broken clouds,-29.15,-59.65,Grand Hotel
387,Faanui,PF,81.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
388,Fengxian,CN,65.23,moderate rain,34.7039,116.5872,Tongrenju Hotel
389,Flinders,AU,65.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
390,Adelaide,AU,74.21,clear sky,-34.9333,138.6,The Chancellor on Currie
392,Korla,CN,66.78,overcast clouds,41.7597,86.1469,Gulisitan Hotel
403,Dubbo,AU,66.33,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
404,Christchurch,NZ,69.42,clear sky,-43.5333,172.6333,The George
408,Ahipara,NZ,65.08,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
411,Lalpur,IN,76.96,clear sky,22.2,69.9667,Radhe Duplex Lalpur
413,Ulladulla,AU,67.77,light rain,-35.35,150.4667,Sandpiper Motel
414,Charlestown,AU,68.74,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
419,Aswan,EG,76.95,few clouds,24.0934,32.907,Nuba Nile
420,Lagoa Nova,BR,67.96,few clouds,-6.1,-36.4833,Chalés dos Cajueiros
421,Wum,CM,67.03,overcast clouds,6.3833,10.0667,Wum Council Hall
422,Alofi,NU,78.94,light rain,-19.0595,-169.9187,Taloa Heights
423,Ambilobe,MG,71.76,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
426,Ratnagiri,IN,81.46,clear sky,16.9833,73.3,Hotel Landmark
427,Piripiri,BR,72.61,overcast clouds,-4.2733,-41.7769,Califórnia Hotel
429,Pringsewu,ID,78.69,overcast clouds,-5.3582,104.9744,Urban Style by Front One
435,Portland,US,70.29,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
436,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
440,Ipixuna,BR,74.1,overcast clouds,-1.7625,-48.8043,Chalé do Mato
442,Kralendijk,BQ,80.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
447,Atar,MR,76.32,clear sky,20.5169,-13.0499,Oumou Elghoura
448,Sao Joao Da Barra,BR,74.61,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
450,Itarema,BR,76.69,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
452,Mtwara,TZ,76.08,light rain,-10.2667,40.1833,TIL Hotels Mtwara
453,California City,US,75.97,clear sky,35.1258,-117.9859,Best Western California City Inn & Suites
454,Bundaberg,AU,80.22,broken clouds,-24.85,152.35,Takalvan Motel
456,Caravelas,BR,76.23,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
457,Namibe,AO,69.93,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
459,Port Lincoln,AU,67.12,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
460,Srivardhan,IN,81.14,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
464,Nouakchott,MR,73.33,clear sky,18.0858,-15.9785,HOTEL IMAN
466,San Rafael,AR,72.21,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
468,Bourbonnais,US,66.02,overcast clouds,41.1417,-87.875,Fairfield Inn by Marriott Kankakee Bourbonnais
473,Tongzi,CN,66.29,overcast clouds,28.7829,105.0877,Jiayuan Hotel
478,Portobelo,PA,80.74,overcast clouds,9.55,-79.65,Scuba Portobelo
479,Seoul,KR,65.77,mist,37.5683,126.9778,롯데호텔 서울
484,Gulfport,US,75.25,few clouds,30.3674,-89.0928,Courtyard by Marriott Gulfport Beachfront
486,Kigali,RW,65.68,broken clouds,-1.95,30.0588,Hôtel des Mille Collines
488,Mayumba,GA,77.43,overcast clouds,-3.432,10.6554,LIKWALE LODGE
491,Angoche,MZ,74.23,overcast clouds,-16.2325,39.9086,Guest House HESADA
495,Moerai,PF,78.46,clear sky,-22.4333,-151.3333,Le Manotel
